Airfoil surface,
X(mm),Y(mm)
280.000000,0.167804
277.200000,0.831320
274.400000,1.493380
271.600000,2.152304
268.800000,2.806496
263.200000,4.094692
257.600000,5.352368
252.000000,6.580700
246.400000,7.780948
240.800000,8.952720
235.200000,10.095008
229.600000,11.206860
224.000000,12.287408
218.400000,13.335868
212.800000,14.351820
207.200000,15.334900
201.600000,16.284772
196.000000,17.201212
190.400000,18.083604
184.800000,18.929288
179.200000,19.735016
173.600000,20.497540
168.000000,21.213724
162.400000,21.880628
156.800000,22.497440
151.200000,23.063936
145.600000,23.580060
140.000000,24.045616
134.400000,24.460016
128.800000,24.819956
123.200000,25.120900
117.600000,25.358396
112.000000,25.527936
106.400000,25.625936
100.800000,25.655448
95.200000,25.622212
89.600000,25.531996
84.000000,25.390512
78.400000,25.200448
72.800000,24.943520
67.200000,24.592624
61.600000,24.120124
56.000000,23.497656
50.400000,22.699236
44.800000,21.719796
39.200000,20.562080
33.600000,19.213712
28.000000,17.639468
22.400000,15.800624
16.800000,13.651988
14.000000,12.397084
11.200000,10.955924
8.400000,9.246020
5.600000,7.104580
3.360000,5.000268
2.240000,3.845800
1.120000,2.498664
0.560000,1.624700
0.280000,1.043588
0.140000,0.654920
0.000000,0.000000
0.140000,-1.307600
0.280000,-1.663704
0.560000,-2.187164
1.120000,-2.943528
2.240000,-4.000136
3.360000,-4.752524
5.600000,-5.676244
8.400000,-6.329568
11.200000,-6.865908
14.000000,-7.292656
16.800000,-7.595756
22.400000,-7.968660
28.000000,-8.226008
33.600000,-8.389724
39.200000,-8.467312
44.800000,-8.471288
50.400000,-8.413720
56.000000,-8.306368
61.600000,-8.160460
67.200000,-7.985068
72.800000,-7.788592
78.400000,-7.579488
84.000000,-7.366212
89.600000,-7.155820
95.200000,-6.948928
100.800000,-6.744360
106.400000,-6.540968
112.000000,-6.337548
117.600000,-6.133176
123.200000,-5.927824
128.800000,-5.721884
134.400000,-5.515608
140.000000,-5.309332
145.600000,-5.103336
151.200000,-4.897592
156.800000,-4.692016
162.400000,-4.486496
168.000000,-4.281004
173.600000,-4.075428
179.200000,-3.869796
184.800000,-3.664136
190.400000,-3.458420
196.000000,-3.252732
201.600000,-3.047044
207.200000,-2.841384
212.800000,-2.635724
218.400000,-2.430064
224.000000,-2.224404
229.600000,-2.018744
235.200000,-1.813084
240.800000,-1.607424
246.400000,-1.401764
252.000000,-1.196104
257.600000,-0.990444
263.200000,-0.784784
268.800000,-0.579124
271.600000,-0.476308
274.400000,-0.373492
277.200000,-0.270648
280.000000,-0.167804
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.140000,-0.326340
0.280000,-0.310058
0.560000,-0.281232
1.120000,-0.222432
2.240000,-0.077168
3.360000,0.123872
5.600000,0.714168
8.400000,1.458226
11.200000,2.045008
14.000000,2.552214
16.800000,3.028116
22.400000,3.915982
28.000000,4.706730
33.600000,5.411994
39.200000,6.047384
44.800000,6.624254
50.400000,7.142758
56.000000,7.595644
61.600000,7.979832
67.200000,8.303778
72.800000,8.577464
78.400000,8.810480
84.000000,9.012150
89.600000,9.188088
95.200000,9.336642
100.800000,9.455544
106.400000,9.542484
112.000000,9.595194
117.600000,9.612610
123.200000,9.596538
128.800000,9.549036
134.400000,9.472204
140.000000,9.368142
145.600000,9.238362
151.200000,9.083172
156.800000,8.902712
162.400000,8.697066
168.000000,8.466360
173.600000,8.211056
179.200000,7.932610
184.800000,7.632576
190.400000,7.312592
196.000000,6.974240
201.600000,6.618864
207.200000,6.246758
212.800000,5.858048
218.400000,5.452902
224.000000,5.031502
229.600000,4.594058
235.200000,4.140962
240.800000,3.672648
246.400000,3.189592
252.000000,2.692298
257.600000,2.180962
263.200000,1.654954
268.800000,1.113686
271.600000,0.837998
274.400000,0.559944
277.200000,0.280336
280.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
280.000000,0.000000
